uby	ubd	total_reads	year	unitbox	doy	box_in_study
1_12_2018	1_12_176	11757	2018	1_12	176	Yes
1_12_2018	1_12_177	7831	2018	1_12	177	Yes
1_12_2018	1_12_178	7422	2018	1_12	178	Yes
1_12_2018	1_12_179	162	2018	1_12	179	Yes
1_12_2018	1_12_180	54	2018	1_12	180	Yes
1_12_2018	1_12_181	1	2018	1_12	181	Yes
1_121_2018	1_121_143	143	2018	1_121	143	Yes
1_121_2018	1_121_144	274	2018	1_121	144	Yes
1_121_2018	1_121_145	483	2018	1_121	145	Yes
1_121_2018	1_121_146	952	2018	1_121	146	Yes
1_121_2018	1_121_147	302	2018	1_121	147	Yes
1_121_2018	1_121_148	902	2018	1_121	148	Yes
1_121_2018	1_121_149	1240	2018	1_121	149	Yes
1_121_2018	1_121_150	2037	2018	1_121	150	Yes
1_121_2018	1_121_151	791	2018	1_121	151	Yes
1_121_2018	1_121_152	2740	2018	1_121	152	Yes
1_121_2018	1_121_153	204	2018	1_121	153	Yes
1_121_2018	1_121_154	379	2018	1_121	154	Yes
1_121_2018	1_121_155	734	2018	1_121	155	Yes
1_121_2018	1_121_156	315	2018	1_121	156	Yes
1_121_2018	1_121_157	724	2018	1_121	157	Yes
1_121_2018	1_121_158	1216	2018	1_121	158	Yes
1_121_2018	1_121_159	669	2018	1_121	159	Yes
1_121_2018	1_121_162	115	2018	1_121	162	Yes
1_121_2018	1_121_163	1972	2018	1_121	163	Yes
1_121_2018	1_121_164	1371	2018	1_121	164	Yes
1_121_2018	1_121_165	1625	2018	1_121	165	Yes
1_121_2018	1_121_166	1241	2018	1_121	166	Yes
1_121_2018	1_121_167	1880	2018	1_121	167	Yes
1_121_2018	1_121_168	2316	2018	1_121	168	Yes
1_121_2018	1_121_169	1013	2018	1_121	169	Yes
1_121_2018	1_121_170	1442	2018	1_121	170	Yes
1_121_2018	1_121_171	1400	2018	1_121	171	Yes
1_121_2018	1_121_172	604	2018	1_121	172	Yes
1_121_2018	1_121_173	748	2018	1_121	173	Yes
1_121_2018	1_121_174	872	2018	1_121	174	Yes
1_121_2018	1_121_175	677	2018	1_121	175	Yes
1_121_2018	1_121_176	89	2018	1_121	176	Yes
1_121_2018	1_121_177	287	2018	1_121	177	Yes
1_121_2018	1_121_178	507	2018	1_121	178	Yes
1_121_2018	1_121_179	8870	2018	1_121	179	Yes
1_121_2018	1_121_180	10611	2018	1_121	180	Yes
1_121_2018	1_121_181	2874	2018	1_121	181	Yes
1_123_2018	1_123_151	1455	2018	1_123	151	Yes
1_123_2018	1_123_152	3776	2018	1_123	152	Yes
1_123_2018	1_123_153	984	2018	1_123	153	Yes
1_123_2018	1_123_154	426	2018	1_123	154	Yes
1_123_2018	1_123_155	298	2018	1_123	155	Yes
1_123_2018	1_123_156	271	2018	1_123	156	Yes
1_123_2018	1_123_157	194	2018	1_123	157	Yes
1_123_2018	1_123_158	997	2018	1_123	158	Yes
1_123_2018	1_123_159	2582	2018	1_123	159	Yes
1_123_2018	1_123_160	456	2018	1_123	160	Yes
1_123_2018	1_123_161	651	2018	1_123	161	Yes
1_123_2018	1_123_162	1731	2018	1_123	162	Yes
1_123_2018	1_123_163	1880	2018	1_123	163	Yes
1_123_2018	1_123_164	480	2018	1_123	164	Yes
1_123_2018	1_123_165	1344	2018	1_123	165	Yes
1_123_2018	1_123_166	2437	2018	1_123	166	Yes
1_123_2018	1_123_167	359	2018	1_123	167	Yes
1_123_2018	1_123_168	2	2018	1_123	168	Yes
1_123_2018	1_123_186	1	2018	1_123	186	Yes
1_134_2019	1_134_154	173	2019	1_134	154	Yes
1_134_2019	1_134_155	1111	2019	1_134	155	Yes
1_134_2019	1_134_156	2029	2019	1_134	156	Yes
1_134_2019	1_134_157	555	2019	1_134	157	Yes
1_134_2019	1_134_158	1043	2019	1_134	158	Yes
1_134_2019	1_134_159	88	2019	1_134	159	Yes
1_17_2018	1_17_146	512	2018	1_17	146	Yes
1_17_2018	1_17_147	272	2018	1_17	147	Yes
1_17_2018	1_17_148	689	2018	1_17	148	Yes
1_17_2018	1_17_149	875	2018	1_17	149	Yes
1_17_2018	1_17_150	330	2018	1_17	150	Yes
1_17_2018	1_17_151	507	2018	1_17	151	Yes
1_17_2018	1_17_152	530	2018	1_17	152	Yes
1_17_2018	1_17_153	244	2018	1_17	153	Yes
1_17_2018	1_17_154	185	2018	1_17	154	Yes
1_17_2018	1_17_155	232	2018	1_17	155	Yes
1_17_2018	1_17_156	205	2018	1_17	156	Yes
1_17_2018	1_17_157	177	2018	1_17	157	Yes
1_17_2018	1_17_158	363	2018	1_17	158	Yes
1_17_2018	1_17_159	487	2018	1_17	159	Yes
1_17_2018	1_17_160	338	2018	1_17	160	Yes
1_17_2018	1_17_161	403	2018	1_17	161	Yes
1_17_2018	1_17_162	277	2018	1_17	162	Yes
1_17_2018	1_17_163	282	2018	1_17	163	Yes
1_17_2018	1_17_164	266	2018	1_17	164	Yes
1_17_2018	1_17_165	192	2018	1_17	165	Yes
1_17_2018	1_17_166	394	2018	1_17	166	Yes
1_17_2018	1_17_167	345	2018	1_17	167	Yes
1_17_2018	1_17_168	1	2018	1_17	168	Yes
1_17_2018	1_17_173	1	2018	1_17	173	Yes
1_32_2018	1_32_145	135	2018	1_32	145	Yes
1_32_2018	1_32_146	722	2018	1_32	146	Yes
1_32_2018	1_32_147	212	2018	1_32	147	Yes
1_32_2018	1_32_148	754	2018	1_32	148	Yes
1_32_2018	1_32_149	1153	2018	1_32	149	Yes
1_32_2018	1_32_150	990	2018	1_32	150	Yes
1_32_2018	1_32_151	1364	2018	1_32	151	Yes
1_32_2018	1_32_152	1809	2018	1_32	152	Yes
1_32_2018	1_32_154	694	2018	1_32	154	Yes
1_32_2018	1_32_155	518	2018	1_32	155	Yes
1_32_2018	1_32_156	142	2018	1_32	156	Yes
1_32_2018	1_32_158	330	2018	1_32	158	Yes
1_32_2018	1_32_165	2	2018	1_32	165	Yes
1_32_2018	1_32_169	1705	2018	1_32	169	Yes
1_32_2018	1_32_170	5173	2018	1_32	170	Yes
1_32_2018	1_32_171	275	2018	1_32	171	Yes
1_47_2019	1_47_146	442	2019	1_47	146	Yes
1_47_2019	1_47_147	777	2019	1_47	147	Yes
1_47_2019	1_47_148	636	2019	1_47	148	Yes
1_47_2019	1_47_149	602	2019	1_47	149	Yes
1_47_2019	1_47_150	1402	2019	1_47	150	Yes
1_47_2019	1_47_151	1967	2019	1_47	151	Yes
1_47_2019	1_47_152	3372	2019	1_47	152	Yes
1_47_2019	1_47_153	1389	2019	1_47	153	Yes
1_47_2019	1_47_154	1578	2019	1_47	154	Yes
1_47_2019	1_47_155	1988	2019	1_47	155	Yes
1_47_2019	1_47_156	3952	2019	1_47	156	Yes
1_47_2019	1_47_157	3403	2019	1_47	157	Yes
1_47_2019	1_47_158	2916	2019	1_47	158	Yes
1_47_2019	1_47_159	3595	2019	1_47	159	Yes
1_47_2019	1_47_160	1904	2019	1_47	160	Yes
1_47_2019	1_47_161	355	2019	1_47	161	Yes
1_47_2019	1_47_162	1027	2019	1_47	162	Yes
1_47_2019	1_47_163	1267	2019	1_47	163	Yes
1_47_2019	1_47_164	411	2019	1_47	164	Yes
1_47_2019	1_47_165	819	2019	1_47	165	Yes
1_47_2019	1_47_166	1041	2019	1_47	166	Yes
1_47_2019	1_47_167	301	2019	1_47	167	Yes
1_47_2019	1_47_168	805	2019	1_47	168	Yes
1_47_2019	1_47_169	635	2019	1_47	169	Yes
1_47_2019	1_47_170	1449	2019	1_47	170	Yes
1_47_2019	1_47_171	9600	2019	1_47	171	Yes
1_47_2019	1_47_172	211	2019	1_47	172	Yes
1_47_2019	1_47_175	11	2019	1_47	175	Yes
1_48_2018	1_48_154	98	2018	1_48	154	Yes
1_48_2018	1_48_155	990	2018	1_48	155	Yes
1_48_2018	1_48_156	1315	2018	1_48	156	Yes
1_48_2018	1_48_157	1121	2018	1_48	157	Yes
1_48_2018	1_48_158	2750	2018	1_48	158	Yes
1_48_2018	1_48_159	4110	2018	1_48	159	Yes
1_48_2018	1_48_160	3098	2018	1_48	160	Yes
1_48_2018	1_48_161	2504	2018	1_48	161	Yes
1_48_2018	1_48_162	2343	2018	1_48	162	Yes
1_48_2018	1_48_163	1595	2018	1_48	163	Yes
1_48_2018	1_48_164	1871	2018	1_48	164	Yes
1_48_2018	1_48_165	1459	2018	1_48	165	Yes
1_48_2018	1_48_166	2268	2018	1_48	166	Yes
1_48_2018	1_48_167	320	2018	1_48	167	Yes
1_48_2018	1_48_171	541	2018	1_48	171	Yes
1_48_2018	1_48_172	2095	2018	1_48	172	Yes
1_48_2018	1_48_173	2028	2018	1_48	173	Yes
1_48_2018	1_48_174	941	2018	1_48	174	Yes
1_48_2018	1_48_175	882	2018	1_48	175	Yes
1_48_2018	1_48_176	1350	2018	1_48	176	Yes
1_48_2018	1_48_177	1091	2018	1_48	177	Yes
1_48_2018	1_48_178	367	2018	1_48	178	Yes
1_48_2018	1_48_179	890	2018	1_48	179	Yes
1_48_2018	1_48_180	6185	2018	1_48	180	Yes
1_48_2018	1_48_181	18459	2018	1_48	181	Yes
1_48_2018	1_48_185	65	2018	1_48	185	Yes
1_48_2018	1_48_186	85	2018	1_48	186	Yes
1_48_2018	1_48_187	131	2018	1_48	187	Yes
1_48_2018	1_48_188	104	2018	1_48	188	Yes
1_58_2019	1_58_153	1222	2019	1_58	153	Yes
1_58_2019	1_58_154	1438	2019	1_58	154	Yes
1_58_2019	1_58_155	2650	2019	1_58	155	Yes
1_58_2019	1_58_156	4033	2019	1_58	156	Yes
1_58_2019	1_58_157	1861	2019	1_58	157	Yes
1_58_2019	1_58_158	2889	2019	1_58	158	Yes
1_58_2019	1_58_159	4606	2019	1_58	159	Yes
1_58_2019	1_58_160	2218	2019	1_58	160	Yes
1_58_2019	1_58_161	953	2019	1_58	161	Yes
1_58_2019	1_58_162	414	2019	1_58	162	Yes
1_58_2019	1_58_163	506	2019	1_58	163	Yes
1_58_2019	1_58_164	173	2019	1_58	164	Yes
1_58_2019	1_58_165	197	2019	1_58	165	Yes
1_58_2019	1_58_166	291	2019	1_58	166	Yes
1_58_2019	1_58_167	314	2019	1_58	167	Yes
1_58_2019	1_58_168	759	2019	1_58	168	Yes
1_58_2019	1_58_169	689	2019	1_58	169	Yes
1_58_2019	1_58_170	915	2019	1_58	170	Yes
1_58_2019	1_58_171	658	2019	1_58	171	Yes
1_58_2019	1_58_172	873	2019	1_58	172	Yes
1_58_2019	1_58_173	1168	2019	1_58	173	Yes
1_58_2019	1_58_174	899	2019	1_58	174	Yes
1_58_2019	1_58_175	688	2019	1_58	175	Yes
1_58_2019	1_58_176	728	2019	1_58	176	Yes
1_58_2019	1_58_177	1700	2019	1_58	177	Yes
1_58_2019	1_58_178	9013	2019	1_58	178	Yes
1_58_2019	1_58_179	11304	2019	1_58	179	Yes
1_58_2019	1_58_180	6879	2019	1_58	180	Yes
1_58_2019	1_58_181	5991	2019	1_58	181	Yes
1_58_2019	1_58_182	5950	2019	1_58	182	Yes
1_58_2019	1_58_183	7758	2019	1_58	183	Yes
1_58_2019	1_58_184	401	2019	1_58	184	Yes
1_62_2018	1_62_147	1768	2018	1_62	147	Yes
1_62_2018	1_62_148	3592	2018	1_62	148	Yes
1_62_2018	1_62_149	7321	2018	1_62	149	Yes
1_62_2018	1_62_150	5423	2018	1_62	150	Yes
1_62_2018	1_62_151	2218	2018	1_62	151	Yes
1_62_2018	1_62_152	4798	2018	1_62	152	Yes
1_62_2018	1_62_153	585	2018	1_62	153	Yes
1_62_2018	1_62_154	623	2018	1_62	154	Yes
1_62_2018	1_62_155	737	2018	1_62	155	Yes
1_62_2018	1_62_156	282	2018	1_62	156	Yes
1_62_2018	1_62_157	163	2018	1_62	157	Yes
1_62_2018	1_62_158	889	2018	1_62	158	Yes
1_62_2018	1_62_159	1280	2018	1_62	159	Yes
1_62_2018	1_62_160	46	2018	1_62	160	Yes
1_65_2019	1_65_113	174	2019	1_65	113	Yes
1_65_2019	1_65_114	129	2019	1_65	114	Yes
1_65_2019	1_65_115	188	2019	1_65	115	Yes
1_65_2019	1_65_116	9	2019	1_65	116	Yes
1_65_2019	1_65_119	138	2019	1_65	119	Yes
1_65_2019	1_65_120	10	2019	1_65	120	Yes
1_65_2019	1_65_121	186	2019	1_65	121	Yes
1_65_2019	1_65_122	194	2019	1_65	122	Yes
1_65_2019	1_65_123	150	2019	1_65	123	Yes
1_65_2019	1_65_126	84	2019	1_65	126	Yes
1_65_2019	1_65_152	837	2019	1_65	152	Yes
1_65_2019	1_65_153	615	2019	1_65	153	Yes
1_65_2019	1_65_154	317	2019	1_65	154	Yes
1_65_2019	1_65_155	517	2019	1_65	155	Yes
1_65_2019	1_65_156	1606	2019	1_65	156	Yes
1_65_2019	1_65_157	604	2019	1_65	157	Yes
1_65_2019	1_65_158	1949	2019	1_65	158	Yes
1_65_2019	1_65_159	2566	2019	1_65	159	Yes
1_65_2019	1_65_160	1175	2019	1_65	160	Yes
1_65_2019	1_65_161	465	2019	1_65	161	Yes
1_65_2019	1_65_162	382	2019	1_65	162	Yes
1_65_2019	1_65_163	770	2019	1_65	163	Yes
1_65_2019	1_65_164	116	2019	1_65	164	Yes
1_65_2019	1_65_166	7	2019	1_65	166	Yes
1_69_2018	1_69_142	107	2018	1_69	142	Yes
1_69_2018	1_69_143	1023	2018	1_69	143	Yes
1_69_2018	1_69_144	833	2018	1_69	144	Yes
1_69_2018	1_69_145	3457	2018	1_69	145	Yes
1_69_2018	1_69_146	430	2018	1_69	146	Yes
1_69_2018	1_69_149	3	2018	1_69	149	Yes
1_69_2018	1_69_157	22	2018	1_69	157	Yes
1_69_2018	1_69_166	1	2018	1_69	166	Yes
1_69_2018	1_69_175	1	2018	1_69	175	Yes
1_75_2018	1_75_149	1179	2018	1_75	149	Yes
1_75_2018	1_75_150	697	2018	1_75	150	Yes
1_75_2018	1_75_151	522	2018	1_75	151	Yes
1_75_2018	1_75_152	2476	2018	1_75	152	Yes
1_75_2018	1_75_153	361	2018	1_75	153	Yes
1_75_2018	1_75_154	221	2018	1_75	154	Yes
1_75_2018	1_75_155	266	2018	1_75	155	Yes
1_75_2018	1_75_156	153	2018	1_75	156	Yes
1_75_2018	1_75_157	173	2018	1_75	157	Yes
1_75_2018	1_75_158	468	2018	1_75	158	Yes
1_75_2018	1_75_159	498	2018	1_75	159	Yes
1_75_2018	1_75_160	480	2018	1_75	160	Yes
1_75_2018	1_75_161	349	2018	1_75	161	Yes
1_75_2018	1_75_162	575	2018	1_75	162	Yes
1_75_2018	1_75_163	385	2018	1_75	163	Yes
1_75_2018	1_75_164	610	2018	1_75	164	Yes
1_75_2018	1_75_165	654	2018	1_75	165	Yes
1_75_2018	1_75_166	882	2018	1_75	166	Yes
1_75_2018	1_75_167	1720	2018	1_75	167	Yes
1_75_2018	1_75_168	1544	2018	1_75	168	Yes
1_75_2018	1_75_169	1089	2018	1_75	169	Yes
1_75_2018	1_75_170	1065	2018	1_75	170	Yes
1_75_2018	1_75_171	1064	2018	1_75	171	Yes
1_75_2018	1_75_172	892	2018	1_75	172	Yes
1_75_2018	1_75_173	1076	2018	1_75	173	Yes
1_75_2018	1_75_174	10226	2018	1_75	174	Yes
1_75_2018	1_75_175	20284	2018	1_75	175	Yes
1_75_2018	1_75_176	11451	2018	1_75	176	Yes
1_75_2018	1_75_177	9447	2018	1_75	177	Yes
1_75_2018	1_75_178	6013	2018	1_75	178	Yes
1_75_2018	1_75_179	3653	2018	1_75	179	Yes
1_77_2018	1_77_142	186	2018	1_77	142	Yes
1_77_2018	1_77_143	260	2018	1_77	143	Yes
1_77_2018	1_77_144	658	2018	1_77	144	Yes
1_77_2018	1_77_145	1341	2018	1_77	145	Yes
1_77_2018	1_77_146	1184	2018	1_77	146	Yes
1_77_2018	1_77_147	543	2018	1_77	147	Yes
1_77_2018	1_77_148	45	2018	1_77	148	Yes
1_77_2018	1_77_149	28	2018	1_77	149	Yes
1_77_2018	1_77_153	2	2018	1_77	153	Yes
1_77_2018	1_77_166	2	2018	1_77	166	Yes
1_77_2018	1_77_169	29	2018	1_77	169	Yes
1_77_2018	1_77_170	7	2018	1_77	170	Yes
1_77_2018	1_77_171	18	2018	1_77	171	Yes
1_77_2018	1_77_172	1	2018	1_77	172	Yes
1_77_2018	1_77_173	21	2018	1_77	173	Yes
1_77_2018	1_77_174	2	2018	1_77	174	Yes
1_77_2018	1_77_183	4	2018	1_77	183	Yes
1_81_2019	1_81_147	22	2019	1_81	147	Yes
1_81_2019	1_81_149	282	2019	1_81	149	Yes
1_81_2019	1_81_150	632	2019	1_81	150	Yes
1_81_2019	1_81_151	2353	2019	1_81	151	Yes
1_81_2019	1_81_152	3832	2019	1_81	152	Yes
1_81_2019	1_81_153	461	2019	1_81	153	Yes
1_81_2019	1_81_154	330	2019	1_81	154	Yes
1_81_2019	1_81_155	693	2019	1_81	155	Yes
1_81_2019	1_81_156	1429	2019	1_81	156	Yes
1_81_2019	1_81_157	702	2019	1_81	157	Yes
1_81_2019	1_81_158	1506	2019	1_81	158	Yes
1_81_2019	1_81_159	2476	2019	1_81	159	Yes
1_81_2019	1_81_160	1023	2019	1_81	160	Yes
1_81_2019	1_81_161	453	2019	1_81	161	Yes
1_81_2019	1_81_162	725	2019	1_81	162	Yes
1_81_2019	1_81_163	914	2019	1_81	163	Yes
1_81_2019	1_81_164	324	2019	1_81	164	Yes
1_81_2019	1_81_165	733	2019	1_81	165	Yes
1_81_2019	1_81_166	935	2019	1_81	166	Yes
1_81_2019	1_81_167	252	2019	1_81	167	Yes
1_81_2019	1_81_168	1088	2019	1_81	168	Yes
1_81_2019	1_81_169	839	2019	1_81	169	Yes
1_81_2019	1_81_170	1094	2019	1_81	170	Yes
1_81_2019	1_81_171	857	2019	1_81	171	Yes
1_81_2019	1_81_173	6449	2019	1_81	173	Yes
1_81_2019	1_81_174	14531	2019	1_81	174	Yes
1_81_2019	1_81_175	2864	2019	1_81	175	Yes
1_81_2018	1_81_141	187	2018	1_81	141	Yes
1_81_2018	1_81_142	484	2018	1_81	142	Yes
1_81_2018	1_81_143	879	2018	1_81	143	Yes
1_81_2018	1_81_144	1548	2018	1_81	144	Yes
1_81_2018	1_81_145	4131	2018	1_81	145	Yes
1_81_2018	1_81_146	4037	2018	1_81	146	Yes
1_81_2018	1_81_147	680	2018	1_81	147	Yes
1_81_2018	1_81_148	1976	2018	1_81	148	Yes
1_81_2018	1_81_149	3835	2018	1_81	149	Yes
1_81_2018	1_81_150	2518	2018	1_81	150	Yes
1_81_2018	1_81_151	1086	2018	1_81	151	Yes
1_81_2018	1_81_152	3614	2018	1_81	152	Yes
1_81_2018	1_81_153	843	2018	1_81	153	Yes
1_81_2018	1_81_154	976	2018	1_81	154	Yes
1_81_2018	1_81_155	929	2018	1_81	155	Yes
1_81_2018	1_81_156	583	2018	1_81	156	Yes
1_81_2018	1_81_157	555	2018	1_81	157	Yes
1_81_2018	1_81_158	1286	2018	1_81	158	Yes
1_81_2018	1_81_159	1775	2018	1_81	159	Yes
1_81_2018	1_81_160	1602	2018	1_81	160	Yes
1_81_2018	1_81_161	1150	2018	1_81	161	Yes
1_81_2018	1_81_162	1272	2018	1_81	162	Yes
1_81_2018	1_81_163	1158	2018	1_81	163	Yes
1_81_2018	1_81_164	444	2018	1_81	164	Yes
1_81_2018	1_81_167	1079	2018	1_81	167	Yes
1_81_2018	1_81_168	2864	2018	1_81	168	Yes
1_81_2018	1_81_169	7495	2018	1_81	169	Yes
1_81_2018	1_81_170	5757	2018	1_81	170	Yes
1_81_2018	1_81_171	12322	2018	1_81	171	Yes
1_81_2018	1_81_172	3313	2018	1_81	172	Yes
1_81_2018	1_81_175	14	2018	1_81	175	Yes
1_81_2018	1_81_180	2	2018	1_81	180	Yes
1_81_2018	1_81_181	35	2018	1_81	181	Yes
1_83_2019	1_83_157	280	2019	1_83	157	Yes
1_83_2019	1_83_158	536	2019	1_83	158	Yes
1_83_2019	1_83_159	1167	2019	1_83	159	Yes
1_83_2019	1_83_160	450	2019	1_83	160	Yes
1_83_2019	1_83_161	248	2019	1_83	161	Yes
1_83_2019	1_83_162	371	2019	1_83	162	Yes
1_83_2019	1_83_163	495	2019	1_83	163	Yes
1_83_2019	1_83_164	111	2019	1_83	164	Yes
1_83_2019	1_83_165	172	2019	1_83	165	Yes
1_83_2019	1_83_166	181	2019	1_83	166	Yes
1_83_2019	1_83_167	63	2019	1_83	167	Yes
1_83_2019	1_83_168	13	2019	1_83	168	Yes
1_83_2019	1_83_169	346	2019	1_83	169	Yes
1_83_2019	1_83_170	494	2019	1_83	170	Yes
1_83_2019	1_83_171	258	2019	1_83	171	Yes
1_83_2019	1_83_172	100	2019	1_83	172	Yes
1_83_2019	1_83_178	29	2019	1_83	178	Yes
1_85_2018	1_85_144	199	2018	1_85	144	Yes
1_85_2018	1_85_145	3057	2018	1_85	145	Yes
1_85_2018	1_85_146	1967	2018	1_85	146	Yes
1_85_2018	1_85_147	687	2018	1_85	147	Yes
1_85_2018	1_85_148	1308	2018	1_85	148	Yes
1_85_2018	1_85_149	2581	2018	1_85	149	Yes
1_85_2018	1_85_150	3100	2018	1_85	150	Yes
1_85_2018	1_85_151	753	2018	1_85	151	Yes
1_85_2018	1_85_152	2977	2018	1_85	152	Yes
1_85_2018	1_85_153	553	2018	1_85	153	Yes
1_85_2018	1_85_154	392	2018	1_85	154	Yes
1_85_2018	1_85_155	653	2018	1_85	155	Yes
1_85_2018	1_85_156	609	2018	1_85	156	Yes
1_85_2018	1_85_157	502	2018	1_85	157	Yes
1_85_2018	1_85_158	965	2018	1_85	158	Yes
1_85_2018	1_85_159	1806	2018	1_85	159	Yes
1_85_2018	1_85_160	1448	2018	1_85	160	Yes
1_85_2018	1_85_161	646	2018	1_85	161	Yes
1_85_2018	1_85_162	910	2018	1_85	162	Yes
1_85_2018	1_85_163	1011	2018	1_85	163	Yes
1_85_2018	1_85_164	925	2018	1_85	164	Yes
1_85_2018	1_85_165	1058	2018	1_85	165	Yes
1_85_2018	1_85_166	1288	2018	1_85	166	Yes
1_85_2018	1_85_167	1353	2018	1_85	167	Yes
1_85_2018	1_85_168	961	2018	1_85	168	Yes
1_85_2018	1_85_169	958	2018	1_85	169	Yes
1_85_2018	1_85_170	1069	2018	1_85	170	Yes
1_85_2018	1_85_171	1481	2018	1_85	171	Yes
1_85_2018	1_85_172	2666	2018	1_85	172	Yes
1_85_2018	1_85_173	4735	2018	1_85	173	Yes
1_85_2018	1_85_174	7359	2018	1_85	174	Yes
