	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	
2018	272106831		1	32	1_32	1_32_2018	1	32	1_32	1_32_2018	5	1_32_2018	132	132	F	yes	home	272107802	272107802	88004790	88004790	88004790	23.3	43	25					85	860	15.5	650	1.3	2.3	4	11.3	
2018	272106830		1	32	1_32	1_32_2018	2	6	2_6	2_6_2018	6	2_6_2018	132	132	F	yes	cross	272107802	272106901	88004790	272107696	272107696	21.5	47	25.3					65	860	16.5	650	0.9	6	5.7	13.3	
2018	272106828		1	32	1_32	1_32_2018	2	6	2_6	2_6_2018	6	2_6_2018	132	132	F	yes	cross	272107802	272106901	88004790	272107696	272107696	19.5	38	24.9					40	860	16	650	3.8	2.6	3.8	18.9	
2018	272106827		1	32	1_32	1_32_2018	2	6	2_6	2_6_2018	6		132		F	yes	cross	272107802	272106901	88004790	272107696		15.5	30	22					30	860	12.5	650	1.8	2.4	3.2	19.8	
2018	272107849		1	48	1_48	1_48_2018	1	48	1_48	1_48_2018	5	1_48_2018	146	146	F	yes	home	272107814	272107814	272106628	272106628	272106628	18	53	26.1					61	728	14.25	572	1.3	18.4	5.2	10.1	
2018	272107850		1	48	1_48	1_48_2018	1	48	1_48	1_48_2018	5	1_48_2018	146	146	F	yes	home	272107814	272107814	272106628	272106628	272106628	19	54	25.3					114	728	14.75	572	5	12	11.8	10.7	
2018	272107847		1	48	1_48	1_48_2018	1	48	1_48	1_48_2018	5	1_301_2018	146	133	F	yes	home	272107814	272107814	272106628	272106628	272107009	19.3	54	26.2					81	728	15.75	572	1.4	44.1	7.6	11.6	
2018	272107848		1	48	1_48	1_48_2018	1	48	1_48	1_48_2018	5	1_48_2018	146	146	F	yes	home	272107814	272107814	272106628	272106628	272106628	18	51	25.8					85	728	15.5	572	4.7	34.8	4.6	12.5	
2018	272106961		1	75	1_75	1_75_2018	1	104	1_104	1_104_2018	4		138		F	yes	cross	272107699	272107790	272107825	unk		13	40	25.3					68	787	13	570	3.6	4.1	2.1	6.8	
2018	272106959		1	75	1_75	1_75_2018	1	104	1_104	1_104_2018	4		138		M	yes	cross	272107699	272107790	272107825	unk		16.3	43	24.7					68	787	14.75	570	5.6	18.3	2.4	17.1	
2018	272106960		1	75	1_75	1_75_2018	1	75	1_75	1_75_2018	6	1_75_2018	138	138	F	yes	home	272107699	272107699	272107825	272107825	272107825	18	47	20.9					68	787	18.5	570	2.7	12.7	3.5	6	
2018	272106962		1	75	1_75	1_75_2018	1	75	1_75	1_75_2018	6	1_75_2018	138	138	F	yes	home	272107699	272107699	272107825	272107825	272107825	21	47	25.9					68	787	16	570	2.5	16.9	4.2	7.5	
2018	272106958		1	75	1_75	1_75_2018	1	75	1_75	1_75_2018	6		138		M	yes	home	272107699	272107699	272107825	272107825		13	31	24.5					68	787	13.5	570	0.8	1.2	3.4	11.8	
2018	272107277		1	81	1_81	1_81_2018	1	81	1_81	1_81_2018	5	1_81_2018	133	133	F	yes	home	232146953	232146953	262125966	262125966	262125966	19.8	54	25.7					179	779	15.5	549	6.7	47.2	9.2	7.2	
2018	272107280		1	81	1_81	1_81_2018	1	81	1_81	1_81_2018	5	1_81_2018	133	133	F	yes	home	232146953	232146953	262125966	262125966	262125966	19.8	54	25.9					146	779	14	549	2.5	16.2	10.4	13.8	
2018	272107278		1	81	1_81	1_81_2018	1	91	1_91	1_91_2018	5	1_91_2018	133	133	F	yes	cross	232146953	272107809	262125966	272107634	272107634	20.5	52	26					103	779	17	549	3.1	20.5	4.7	4.5	
2018	272107276		1	81	1_81	1_81_2018	1	91	1_91	1_91_2018	5	1_91_2018	133	133	F	yes	cross	232146953	272107809	262125966	272107634	272107634	19.5	48	24.4					130	779	16	549	3.7	46.3	3.6	7.1	
2018	272107279		1	81	1_81	1_81_2018	1	91	1_91	1_91_2018	5	1_91_2018	133	133	F	yes	cross	232146953	272107809	262125966	272107634	272107634	18.5	45	24.1					176	779	13.5	549	3	37.3	6.1	19.7	
2018	272107831		1	85	1_85	1_85_2018	1	17	1_17	1_17_2018	5	1_17_2018	138	138	F	yes	cross	272106711	272107153	272107529	156181128	156181128	20.5	53	24.7					110	777	14.5	588	2.5	20.5	11.8	14.2	
2018	272107833		1	85	1_85	1_85_2018	1	17	1_17	1_17_2018	5	1_32_2018	138	132	M	yes	cross	272106711	272107153	272107529	156181128	88004790	23	55	27.7					99	777	17.25	588	5.9	25.3	11.7	23.6	
2018	272107830		1	85	1_85	1_85_2018	1	85	1_85	1_85_2018	5	1_85_2018	136	136	F	yes	home	272106711	272106711	272107529	272107529	272107529	20	51	25.3					45	777	14.75	588	2.6	20.5	11.2	20.7	
2018	272107832		1	85	1_85	1_85_2018	1	85	1_85	1_85_2018	5	1_85_2018	136	136	M	yes	home	272106711	272106711	272107529	272107529	272107529	21.5	56	25.7					87	777	15.25	588	3.3	28.9	15.9	27.2	
2018	272107271		1	91	1_91	1_91_2018	1	81	1_81	1_81_2018	5	1_81_2018	133	133	M	yes	cross	272107809	232146953	272107634	262125966	262125966	18.3	49	24.2					81	725	14.5	603	1.3	29.4	8.8	6.3	
2018	272107275		1	91	1_91	1_91_2018	1	81	1_81	1_81_2018	5	1_81_2018	133	133	M	yes	cross	272107809	232146953	272107634	262125966	262125966	20.5	48	24.7					111	725	20	603	0.5	39.9	3.5	12.5	
2018	272107272		1	91	1_91	1_91_2018	1	81	1_81	1_81_2018	5		133		F	yes	cross	272107809	232146953	272107634	262125966		20	49	25.4					122	725	17.5	603	3.3	28.2	5.1	15	
2018	272107274		1	91	1_91	1_91_2018	1	91	1_91	1_91_2018	5	1_91_2018	133	133	F	yes	home	272107809	272107809	272107634	272107634	272107634	19	42	24.8					128	725	16.5	603	7.6	24.8	7	2.5	
2018	272107273		1	91	1_91	1_91_2018	1	91	1_91	1_91_2018	5	1_85_2018	133	136	F	yes	home	272107809	272107809	272107634	272107634	272107529	19.5	44	24.1					83	725	16.5	603	0.5	13		19.3	
2018	272106851		2	102	2_102	2_102_2018	2	102	2_102	2_102_2018	6		136		F	yes	home	272107811	272107811	272106915	272106915		17.8	41	24.2					110	751	18.4	575	2.6	7	1.3	13	
2018	272106852		2	102	2_102	2_102_2018	2	102	2_102	2_102_2018	6		136		F	yes	home	272107811	272107811	272106915	272106915		18.5	42	24.7					96	751	17.7	575	0.5	0.5	1.6	35.3	
2018	272106854		2	102	2_102	2_102_2018	2	102	2_102	2_102_2018	6	2_102_2018	136	136	M	yes	home	272107811	272107811	272106915	272106915	272106915	19	42	25.4					76	751	20.2	575	0.5	2.3	2.6	56.5	
2018	272106853		2	102	2_102	2_102_2018	2	102	2_102	2_102_2018	6	2_102_2018	136	136	F	yes	home	272107811	272107811	272106915	272106915	272106915	11	28	22.3						733	13.7	575		0.7			
2018	272106856		2	102	2_102	2_102_2018	2	30	2_30	2_30_2018	4	2_30_2018	136	136	M	yes	cross	272107811	272106613	272106915	272107257	272107257	22	56	25.8					163	751	19.2	575	0.5	6	4.5	23.6	
2018	272107436		2	103	2_103	2_103_2018	2	103	2_103	2_103_2018	6		133		F	yes	home	272106908	272106908	272106664	272106664		19.8	41	25.9					70	772	17.5	652	4.6	38.9	2.5	7.4	
2018	272107437		2	103	2_103	2_103_2018	2	103	2_103	2_103_2018	6		133		M	yes	home	272106908	272106908	272106664	272106664		21	43	26.3					161	772	17.75	652	0.5		4.4	9	
2018	272107434		2	103	2_103	2_103_2018	2	103	2_103	2_103_2018	6		133		F	yes	home	272106908	272106908	272106664	272106664		10.7	22	21.6					131	772	7.5	652	2.9				
2018	272107439		2	103	2_103	2_103_2018	2	103	2_103	2_103_2018	6		133		F	yes	home	272106908	272106908	272106664	272106664		12.6	24	22.3					132	772	7.25	652	0.5	18.8	111.7		
2018	272107435		2	103	2_103	2_103_2018	2	114	2_114	2_114_2018	6		133		M	yes	cross	272106908	272107217	272106664	unk		19.5	38	24.1					64	772	18	652	3.1	28	2.3	8.5	
2018	272107433		2	103	2_103	2_103_2018	2	114	2_114	2_114_2018	6		133		M	yes	cross	272106908	272107217	272106664	unk		17.6	34	23.6					95	772	14	652	52.1	25.8	3.2	16.4	
2018	272106825		2	109	2_109	2_109_2018	2	105	2_105	2_105_2018	7	Unknown	129		F	yes	cross	272107739	272107016	272107688	unk	263114244	20	39	24.1					170	809	17.8	571	3.1	18.1	1	19.9	
2018	272106826		2	109	2_109	2_109_2018	2	105	2_105	2_105_2018	7	Unknown	129		M	yes	cross	272107739	272107016	272107688	unk	263114244	18.6	31	20.9					110	809	18	571	0.8	55.3	4.7	23.8	
2018	156181144		2	112	2_112	2_112_2018	2	112	2_112	2_112_2018	6	2_112_2018	132	132	F	yes	home	272106903	272106903	272107690	272107690	272107690	21.5	51.5	25.4					114	878	18.75	632	0.5	13.3	4.4	21.8	
2018	156181142		2	112	2_112	2_112_2018	2	67	2_67	2_67_2018	5	Unknown	132		F	yes	home	272106903	272107749	272107690	272107697	263114244	23	53	25.7					115	878	19	632	1.3	27.1	2.4	11.4	
2018	156181143		2	112	2_112	2_112_2018	2	68	2_68	2_68_2018	3		130		F	yes	cross	272106903	272106733	272107690	272106916		20.5	47	24.9					90	878	18.5	632	1.3	18.1	1.7	14.7	
2018	156181141		2	114	2_114	2_114_2018	2	103	2_103	2_103_2018	6		133		F	yes	cross	272107217	272106908	unk	272106664		12	26	21.8					144	870	10.5	632	0.5	0.5	1.2		
2018	272107459		2	117	2_117	2_117_2018	2	117	2_117	2_117_2018	6	2_124_2018	137	129	F	yes	home	272106913	272106913	263114341	263114341	272107503	16	47	24.2					59	767	12	663	2.7	13.9	4.4	14.1	
2018	272107457		2	117	2_117	2_117_2018	2	117	2_117	2_117_2018	6	2_122_2018	137	126	M	yes	home	272106913	272106913	263114341	263114341	262126015	19	47	24.8					137	767	18.1	663	2	8.5	2.7	19.2	
2018	272107456		2	117	2_117	2_117_2018	2	117	2_117	2_117_2018	6	2_124_2018	137	129	M	yes	home	272106913	272106913	263114341	263114341	272107503	14.8	35	23					59	767	14.1	663	0.9	1.8	1.8		
2018	272107460		2	117	2_117	2_117_2018	2	77	2_77	2_77_2018	6		137		M	yes	cross	272106913	272107786	263114341	272107788		22	48	25.8					136	767	20.4	663	3	17.4	10.1	15.8	
2018	272107454		2	117	2_117	2_117_2018	2	77	2_77	2_77_2018	6	2_109_2018	137	129	M	yes	cross	272106913	272107786	263114341	272107788	272107688	22.3	54	25.1					48	767	19.8	663	2.9	15.9	4.2	22.5	
2018	221707455		2	117	2_117	2_117_2018	2	77	2_77	2_77_2018	6	2_77_2018	137	137	M	yes	cross	272106913	272107786	263114341	272107788	272107788																
2018	272106836		2	12	2_12	2_12_2018	2	12	2_12	2_12_2018	6	2_12_2018	132	132	M	yes	home	272107748	272107748	272107816	272107816	272107816	19	48	25.4					81	769	13.5	589	0.5	2.9	2.7	24.9	
2018	272106839		2	12	2_12	2_12_2018	2	12	2_12	2_12_2018	6	2_12_2018	132	132	M	yes	home	272107748	272107748	272107816	272107816	272107816	21	55	26.1					50	769	16.25	589	4.8	1.7	1.6	34.9	
2018	272106841		2	12	2_12	2_12_2018	2	12	2_12	2_12_2018	6	2_12_2018	132	132	M	yes	home	272107748	272107748	272107816	272107816	272107816	19.3	54	24.5					141	769	16	589	6.2	2.6	2.8	46.8	
2018	272106842		2	12	2_12	2_12_2018	2	8	2_8	2_8_2018	6	2_12_2018	132	132	F	yes	cross	272107748	272106902	272107816	272107789	272107816	20.5	57	24.9					140	769	17.25	589	2.7	4.9	3.1	19.9	
2018	272106840		2	12	2_12	2_12_2018	2	8	2_8	2_8_2018	6	2_22_2018	132	131	M	yes	cross	272107748	272106902	272107816	272107789	263113739	22.5	54	25.7					150	769	17.75	589	3.9	15	11.4	35.4	
2018	272106838		2	12	2_12	2_12_2018	2	8	2_8	2_8_2018	6	2_8_2018	132	132	M	yes	cross	272107748	272106902	272107816	272107789	272107789	23.5	67	26					88	769	17.25	589	1	3.6	8.8	45.3	
2018	272106860		2	121	2_121	2_121_2018	2	102	2_102	2_102_2018	6		136		F	yes	cross	272107112	272107811	262126051	272106915		14.3	35	24.4					171	799	11.9	618	0.8	1.3	3.2	22.3	
2018	272106862		2	121	2_121	2_121_2018	2	102	2_102	2_102_2018	6	2_102_2018	136	136	M	yes	cross	272107112	272107811	262126051	272106915	272106915	14	36	23.2					157	799	12.3	618	0.5	2.6	1.5	22.9	
2018	272106857		2	121	2_121	2_121_2018	2	121	2_121	2_121_2018	6	2_121_2018	135	135	F	yes	home	272107112	272107112	262126051	262126051	262126051	14.3	31	23.9					175	799	15.2	618	1.5	3.7	3.3	14.4	
2018	272106858		2	121	2_121	2_121_2018	2	121	2_121	2_121_2018	6	2_121_2018	135	135	M	yes	home	272107112	272107112	262126051	262126051	262126051	14.5	30.5	23.2					102	799	10.8	618	0.5	1.1	2.7	16.8	
2018	272106859		2	121	2_121	2_121_2018	2	121	2_121	2_121_2018	6		135		M	yes	home	272107112	272107112	262126051	262126051		19.8	29	24.4					114	799	18.4	618	1.1	0.5	0.5	38.6	
2018	272106861		2	121	2_121	2_121_2018	2	121	2_121	2_121_2018	6	2_121_2018	135	135	M	yes	home	272107112	272107112	262126051	262126051	262126051	17.3	40	23.7					68	799		618	2.1	2.2	1.5		
2018	272107823		2	124	2_124	2_124_2018	2	109	2_109	2_109_2018	6		129		F	yes	cross	272108041	272107739	unk	272107688		18.8	40	25.5					66	813	17.25	623	0.5	7.1	3.4	15.4	
2018	272107824		2	124	2_124	2_124_2018	2	124	2_124	2_124_2018	6		129		M	yes	home	272108041	272108041	unk	unk		18.8	40	23.5					106	813	18	623	0.5	4.4	1.9	32.2	
2018	156181131		2	14	2_14	2_14_2018	2	14	2_14	2_14_2018	5	Unknown	133		F	yes	home	272106905	272106905	272107762	272107762	272107762	20	43	25.1					161	881	16.5		1.6	12.5	10.8	41.7	
2018	156181130		2	14	2_14	2_14_2018	2	14	2_14	2_14_2018	5	Unknown	133		M	yes	home	272106905	272106905	272107762	272107762	272107762	21.8	43	24.4					112	881	18.5		2.8	36.3	15	44.9	
2018	156181129		2	14	2_14	2_14_2018	2	18	2_18	2_18_2018	6	2_18_2018	133	133	M	yes	cross	272106905	272106817	272107762	272107800	272107800										17.75	590				20.8	
2018	272107288		2	18	2_18	2_18_2018	2	14	2_14	2_14_2018	5	Unknown	133		M	yes	cross	272106817	272106905	272107800	272107762	272107762	23	52	27.1					71	792	19.2	547	6.7	19.5	7.2	27	
2018	272107284		2	18	2_18	2_18_2018	2	14	2_14	2_14_2018	5	Unknown	133		F	yes	cross	272106817	272106905	272107800	272107762	272107762	18	59	26.2					170	792	20.1	547	1.2	11.7	20.1	76.8	
2018	272107286		2	18	2_18	2_18_2018	2	18	2_18	2_18_2018	6	2_22_2018	133	131	M	yes	home	272106817	272106817	272107800	272107800	263113739	17	50	25.6					146	792	18.8	547	1.9	62.8	2.7	21.9	
2018	272107287		2	18	2_18	2_18_2018	2	18	2_18	2_18_2018	6	2_18_2018	133	133	F	yes	home	272106817	272106817	272107800	272107800	272107800	20	56	26					57	792	19.6	547	13.2	9.5	5.4	27.8	
2018	272107289		2	18	2_18	2_18_2018	2	18	2_18	2_18_2018	6		133		M	yes	home	272106817	272106817	272107800	272107800		20	49	27.2					145	792	19.4	547	4	67.3	3.1	57.2	
2018	272107285		2	18	2_18	2_18_2018	2	18	2_18	2_18_2018	6	2_18_2018	133	133	F	yes	home	272106817	272106817	272107800	272107800	272107800	9.8	26	23.1						792	12.7	547		7.3			
2018	156181134		2	2	2_2	2_2_2018	2	2	2_2	2_2_2018	5	2_2_2018	134	134	M	yes	home	272107807	272107807	272107817	272107817	272107817	19.5	53	25.4					103	736	18	555	0.5	32	3.4	31.8	
2018	156181132		2	2	2_2	2_2_2018	2	2	2_2	2_2_2018	5		134		M	yes	home	272107807	272107807	272107817	272107817		20	53	25.4					79	736	16.5	555	1.1	5.6	3.6	36.2	
2018	156181136		2	2	2_2	2_2_2018	2	2	2_2	2_2_2018	5		134		F	yes	home	272107807	272107807	272107817	272107817		17	40	25					152	736	13.5	555	0.9	34.9	3.6	37.3	
2018	156181135		2	2	2_2	2_2_2018	2	27	2_27	2_27_2018	6		134		F	yes	cross	272107807	272107297	272107817	unk		23.3	53	26.3					81	736	19.75	555	1.6	11.6	2.9	22.2	
2018	156181133		2	2	2_2	2_2_2018	2	27	2_27	2_27_2018	6	2_22_2018	134	131	F	yes	cross	272107807	272107297	272107817	unk	263113739	20	52.5	25.6					143	736	16.5	555	0.5	7.7		23.2	
2018	156181140		2	21	2_21	2_21_2018	2	21	2_21	2_21_2018	6		132		F	yes	home	88004754	88004754	272107530	272107530		13.8	35	23.3					133	811			24.5	55	4.2		
2018	156181137		2	21	2_21	2_21_2018	2	51	2_51	2_51_2018	5	2_21_2018	132	132	M	yes	cross	88004754	272107801	272107530	272107689	272107530	15.5	46	25					132	811	14.75	605	9.9	48.2	4.9	35.3	
2018	156181138		2	21	2_21	2_21_2018	2	51	2_51	2_51_2018	5	2_21_2018	132	132	F	yes	cross	88004754	272107801	272107530	272107689	272107530	19	46	23.7					160	811			4.7	32.1	2.1		
2018	156181139		2	21	2_21	2_21_2018	2	51	2_51	2_51_2018	5	2_51_2018	132	132	F	yes	cross	88004754	272107801	272107530	272107689	272107689	15	40	24.9						811				38.8	7.1		
2018	272106895		2	22	2_22	2_22_2018	2	22	2_22	2_22_2018	5		131		F	yes	home	272106635	272106635	263113739	263113739		20.3	49	24.8					47	756	18.5	621	1.4	13.2	5.6	28.2	
2018	272106894		2	22	2_22	2_22_2018	2	22	2_22	2_22_2018	5	2_22_2018	131	131	F	yes	home	272106635	272106635	263113739	263113739	263113739	15.2	45.5	24.7					61	756	16.5	621	0.9	17.1	2.1	29.7	
2018	272106890		2	22	2_22	2_22_2018	2	22	2_22	2_22_2018	5	2_22_2018	131	131	F	yes	home	272106635	272106635	263113739	263113739	263113739	17.8	47.5	25.2					91	756	17	621	0.9	11.1	2.7	30.7	
2018	272106893		2	22	2_22	2_22_2018	2	68	2_68	2_68_2018	3	2_68_2018	130	130	M	yes	cross	272106635	272106733	263113739	272106916	272106916	20.2	51	25					74	756	18.5	621	1.3	33	4.4	19	
2018	272106891		2	22	2_22	2_22_2018	2	68	2_68	2_68_2018	3	2_68_2018	130	130	M	yes	cross	272106635	272106733	263113739	272106916	272106916	20.2	47.5	24.9					112	756	19.5	621	1.7	33.3	3.8	36.7	
2018	272107283		2	27	2_27	2_27_2018	2	27	2_27	2_27_2018	6	2_12_2018	134	132	F	yes	home	272107297	272107297	unk	unk	272107816	14.8	25	21.5					82	747	19.4	598	2.3	4		80.7	
2018	272107281		2	30	2_30	2_30_2018	2	121	2_121	2_121_2018	6		135		F	yes	cross	272106613	272107112	272107257	262126051		23.5	48	25.8					74	734	22	598	3.5	3.7	2.1	23.2	
2018	272107282		2	30	2_30	2_30_2018	2	30	2_30	2_30_2018	4	2_30_2018	136	136	M	yes	home	272106613	272106613	272107257	272107257	272107257	23.5	51	25.2					116	734	19.7	598	3.4	27.5	4.1	28.6	
2018	272106845		2	34	2_34	2_34_2018	2	32	2_32	2_32_2018	6		133		F	yes	cross	272107805	272107804	272107815	unk		15.3	33	22.8					118	830	13.75	545	1.2	3.7	4.1	32	
2018	272106844		2	34	2_34	2_34_2018	2	32	2_32	2_32_2018	6		133		M	yes	cross	272107805	272107804	272107815	unk		21.5	47	24.8					150	830	17.5	545	0.9	2.5	3	43	
2018	272106837		2	34	2_34	2_34_2018	2	32	2_32	2_32_2018	6		133		M	yes	cross	272107805	272107804	272107815	unk		18	42	23.2					98	830	16	545	6.3	3	3.3	49.5	
2018	272106843		2	34	2_34	2_34_2018	2	34	2_34	2_34_2018	5	2_30_2018	133	136	F	yes	home	272107805	272107805	272107815	272107815	272107257	20.5	44	24.1					70	830	15.25	545	1.2	2.3	2.7	39	
2018	272107845		2	37	2_37	2_37_2018	2	37	2_37	2_37_2018	5		142		F	yes	home	272106795	272106795	272106957	272106957		19	52	25						755	18.5	549		48.4		103.6	
2018	272107843		2	37	2_37	2_37_2018	2	37	2_37	2_37_2018	5		142		M	yes	home	272106795	272106795	272106957	272106957		17.5	48	24.7					61	755			3.8	11.1	3.8		
2018	272107844		2	37	2_37	2_37_2018	2	37	2_37	2_37_2018	5	2_37_2018	142	142	F	yes	home	272106795	272106795	272106957	272106957	272106957	15.3	52	24.5					121	755			6.9	48.1			
2018	272107846		2	37	2_37	2_37_2018	2	37	2_37	2_37_2018	5		142		M	yes	home	272106795	272106795	272106957	272106957		18	55	24.4					67	755			1.5	38.6	8.9		
2018	272106848		2	38	2_38	2_38_2018	2	38	2_38	2_38_2018	5	2_8_2018	133	132	F	yes	home	272107806	272107806	232173070	232173070	272107789	23.5	53	25.3					119	871	17.5	547	5.6	17.9	5.8	20.9	
2018	272106846		2	38	2_38	2_38_2018	2	38	2_38	2_38_2018	5	2_117_2018	133	137	M	yes	home	272107806	272107806	232173070	232173070	263114341	24.5	57	26.9					130	871	19.5	547	4.1	20.1	3.5	33	
2018	272106850		2	38	2_38	2_38_2018	2	38	2_38	2_38_2018	5	2_8_2018	133	132	M	yes	home	272107806	272107806	232173070	232173070	272107789	22	48	24.8					129	871	19.5	547	3.3	13.4	4.6	77.3	
2018	272106849		2	38	2_38	2_38_2018	2	49	2_49	2_49_2018	5		133		M	yes	cross	272107806	272106906	232173070	unk		22.8	54	24.9					80	871	18.5	547	4.6	11.5	3.8	28.2	
2018	272106847		2	38	2_38	2_38_2018	2	49	2_49	2_49_2018	5		133		M	yes	cross	272107806	272106906	232173070	unk		22.3	54	25.8					55	871	17.5	547		5.4	3.5	35.8	
2018	272106963		2	42	2_42	2_42_2018	2	42	2_42	2_42_2018	5	2_12_2018	139	132	F	yes	home	272107698	272107698	272106914	272106914	272107816	21.1	68	26.9					56	750	19	547	0.5	7.2	1.4	47.5	
2018	272106964		2	42	2_42	2_42_2018	2	42	2_42	2_42_2018	5	2_42_2018	139	139	M	yes	home	272107698	272107698	272106914	272106914	272106914	20.4	61	25.9					78	750	18.5	547	3	11.9	1.8	67.1	
2018	272107840		2	54	2_54	2_54_2018	2	42	2_42	2_42_2018	5	2_12_2018	139	132	M	yes	cross	272106728	272107698	unk	272106914	272107816	23.5	54	24.4					60	847	19.25	554	1.5	17.8	3.1	33.3	
2018	272106966		2	64	2_64	2_64_2018	2	64	2_64	2_64_2018	5	2_21_2018	140	132	F	yes	home	272106823	272106823	272107774	272107774	272107530	20.8	62	25.7					42	796	17.25	587	0.5	11.8	4.6	17.3	
2018	272106965		2	64	2_64	2_64_2018	2	64	2_64	2_64_2018	5	2_64_2018	140	140	F	yes	home	272106823	272106823	272107774	272107774	272107774	20.1	54	25.8					57	796	16.75	587	0.5	10.1	4.5	35.9	
2018	272106967		2	64	2_64	2_64_2018	2	71	2_71	2_71_2018	6	Unknown	140		F	yes	cross	272106823	272106822	272107774	unk	263114244	18.8	51	25.5					84	796	16.75	587	25	38.1	3	25.1	
2018	272106968		2	64	2_64	2_64_2018	2	71	2_71	2_71_2018	6		140		M	yes	cross	272106823	272106822	272107774	unk		21.7	56	26					80	796	17.75	587	3	21.4	4.8	32.1	
2018	272106920		2	67	2_67	2_67_2018	2	67	2_67	2_67_2018	5	Unknown	132		F	yes	home	272107749	272107749	272107697	272107697	263114244	8.5	19	19.5					114	798			0.5				
2018	272106918		2	68	2_68	2_68_2018	2	22	2_22	2_22_2018	5	2_22_2018	131	131	M	yes	cross	272106733	272106635	272106916	263113739	263113739	21.5	46	24.7					69	760	17.5	568	0.5	14.5	3.9	49.1	
2018	272106917		2	68	2_68	2_68_2018	2	67	2_67	2_67_2018	5	Unknown	132		F	yes	cross	272106733	272107749	272106916	272107697	263114244	20	40	22.8					50	760	17.5	568	0.5	6.9	6.3	15.9	
2018	272106919		2	68	2_68	2_68_2018	2	67	2_67	2_67_2018	5	2_67_2018	132	132	F	yes	cross	272106733	272107749	272106916	272107697	272107697	17.5	35	23.8					127	760	16.25	568	5.5	1.7	2.7	33.5	
2018	272107461		2	77	2_77	2_77_2018	2	77	2_77	2_77_2018	6	2_109_2018	137	129	F	yes	home	272107786	272107786	272107788	272107788	272107688	12	27	21.1					140	814			6.7	2.9	1.1		
2018	272107462		2	77	2_77	2_77_2018	2	77	2_77	2_77_2018	6	2_109_2018	137	129	M	yes	home	272107786	272107786	272107788	272107788	272107688	13	28	22.3					75	814			7.7	8.1	2.1		
